Bengali tech product reviews,tech product
শো-রুম থেকে প্রায় ১৩০০ টাকা কমে পেয়েছি তবে চার্জার এর তার টা ছোট ইনফিনিক্সের অন্য ফোনের তুলনায় আশা করি অফলাইনে যা দেয় দারাজ থেকে বিক্রি করলেও সেমটাই দেয় ১৫দিন পরের এডিট redmi a2+ এর সাথে কম্পেরিজন করেই কিনেছিলাম এখন ওটাই ভালো মনে হচ্ছে যার জন্য কেনা সে পছন্দ করেনি অল্প কাজেই হ্যাং যেমন মেসেঞ্জার চ্যাট হেড িউজ করা যায় না,Smartphone
সময়মতো পন্য হাতে পেয়েছি। খুব দ্রুত সার্ভিস। ধন্যবাদ।,Smartphone
"ফোনটা বাজেটের মধ্যে অনেক ভালো, আমার কাছে মনে হয়েছে, আসলে দারাজ থেকে কেনাকাটা করা নেশার মতো হয়েগেছে, এখন আর মার্কেটে যেতে ইচ্ছে করে না, যাই কেনাকাটা করি দারাজ থেকেই কিনার চেষ্টা করি। সেলার ও দারাজের জন্য শুভকামনা রইলো।।",Smartphone
ভুলে কেউ অনলাইন থেকে মোবাইল কিনবেন না।ইয়ার স্পিকারের প্রবলেম চার্জ থাকে না বেশি।হয়রানির আরেক নাম হচ্ছে অনলাইন থেকে মোবাইল কিনা।ডেলিভারি দিয়েছে সে সময় মতোই ধন্যবাদ।মোবাইল অন করে ফেললে তারা আর মোবাইল ব্যাক করে নিতে চায় না,Smartphone
আলহামদুলিল্লা ইনটেক প্রোডাক্ট হাতে পেয়েছি। প্যাকেজিং ও যথেষ্ট ভালো ছিলো। ধন্যবাদ,Smartphone
খুব ভাল। বিশেষ করে সামনে থাকা অতিরিক্ত ফ্লাসলাইট খুবই কাজের। সাধারণত এরকম অন্যান্য মোবাইলে দেখা যায় না। এর আগে realme ফোন চালাতাম এখন এটা চালাচ্ছি। খুব বেশি এবং ক্যামেরা এক্সপেকটেশন থেকেও ভালো,Smartphone
❤️❤️❤️❤️❤️9 পিচ নীলাম,Smartphone
"খুবই ভালো প্রোডাক্টি। প্রথমে ভয়ে ছিলাম কিন্তু প্রোডাক্টি পাওয়ার ও ব্যাহারেরর পর থেকে আলহামদুলিল্লাহ। খুবই খুশি। ধন্যবাদ সেলার ভাইকে, সময়ের সাথে সাথে ডেলিভারি দেয়ার জন্য। ধন্যবাদ দারাজ।",Smartphone
infinix hot 30 i ফোনটি এক কথায় অসাধারণ.। সব মিলিয়ে আমার প্রায় ১০ হাজার ৭৯ টাকা লেগেছিল ফোনটি কিনতে আজ প্রায় ১৭ দিন পর রিভিউ দিলাম।,Smartphone
"ইনটেক বক্সসহ ঠিক সময়মত ডেলিভারি পেয়েছি। সেলার, দারাজ, এবং ডেলিভারিম্যান সকলকে আন্তরিক ধন্যবাদ।🙂🙂🙂",Smartphone
প্যাকেজিং খুব ভালো। জেনুইন প্রোডাক্ট। ধন্যবাদ সেলারকে। শুভ কামনা রইল।,Smartphone
আলহামদুলিল্লাহ খুব ভাল। দোকানের প্রাইস থেকে অনেক কমে পেয়েছি।,Smartphone
মোবাইলটা ভালো ব্যবহার করে মজা আছে।,Smartphone
অনেক ভালো,Smartphone
"আমি দারাজ থেকে এই মোবাইলটি ক্রয় করি, মোবাইলটির সমস্যার কারণে রিফান্ড রিকোয়েস্ট পাঠায় ৩০ শে সেপ্টেম্বর এরপর ৫ অক্টোবরে আমার কাছে অফিস থেকে ফোন দিয়ে বলে আপনার মোবাইলটি যে সমস্যা আছে কাস্টম কেয়ারে গেলে সার্ভিসিং পেয়ে যাবেন অতএব আপনার মোবাইলটি আপনার কাছে রিটার্ন পাঠানো হচ্ছে ৫শে অক্টোবরে অফিস থেকে আমাকে জানানো হয় এবং আমাকে বলে আপনার মোবাইলটি পেতে ছয় থেকে সাত দিন সময় লাগবে কিন্তু এখনো পর্যন্ত আমার মোবাইলটি আমার হাতে পাই নাই আজকে ২১ অক্টোবর চলে গেল আপনারা কি কাস্টমারকে নিয়ে ছিনিমিনি খেলেন",Smartphone
এই প্রোডাক্ট একেবারে বাজে কেউ কিনবেন এরা ভুয়া রিভিউ কিনছে চার্জে দিলে মোবাইল আগুনের মতো গরম হয় প্রসেসর একেবারে বাজে ফেসবুক ভিডিও দেখলে মোবাইল কাপে মনে হয়। ১৪ দিন রিটার্ন লিখেছে কিন্তু আমার প্রোডাক্ট রিটার্ন নিচ্ছে না যার যতেষ্ট কারন আছে সবাই এই প্রোডাক্ট কেনা থেকে বিরত থাকবেন।,Smartphone
মোবাইলটি সুবিধা নয়,Smartphone
"কনফিগারেশন দেখে ভেবেছিলাম এটার টাইপ সি চার্জার থাকবে, পরে কিনে দেখি এটা আগের নরমাল চার্জার। ফলে চার্জ হতে সময় লাগে। আর ফ্রন্ট ক্যামেরা আরেকটু ভালো হলে ভালো হতো। রাফ ইউজের জন্য ঠিক আছে।",Smartphone
দুই সপ্তাহ ব্যবহার করলাম বালির সার্ভিস দিতাছে দেখা যাক,Smartphone
"মোবাইল টা বুঝে পেয়েছি,, ওর্ডার দিয়েছিলা নিল রঙের, বাট দিয়েছেন সাদা কালার। আর সেট মনে অনেক স্লো,,,আর ডেলিভারি ম্যান এর ব্যবহারটা বেশি ভালো না।",Smartphone
touch কিছুটা slow কাজ করে ।,Smartphone
যা চেয়েছি তাই পেয়েছি। প্যাকেট খোলার সময় ভিডিও করেছি। আশা করি ভবিষ্যতেও এমন সেবা অব্যাহত রাখবেন।,Smartphone
ফোনের টাচ রেসপন্স তুলনামূলক কম। তাছাড়া বাকিসব দাম হিসেবে ঠিক রয়েছে,Smartphone
আছে মোটামুটি এতোটা খারাপ না।।,Smartphone
মাশাল্লাহ। এবারই দারাজে মোবাইল প্রথম কেনা। অনেক সুন্দর প্যাকেজিং। ডেলিভারি ম্যান অনেক সকালে এসে দিলো। মাত্র ৯১৫৬ টাকায় কিনেছি। সেলার কোনো স্ক্রিণ প্রোটেকশন গ্লাস দেয়নি ইয়ারফোন ও দেয়নি! এখন কেমন চলে দেখার বিষয়। অনেক জিনিস কিনেছি আজকে দারাজ থেকে।,Smartphone
"নিঃ সন্দেহে এই বাজেটে সেরা একটি ফোন। কালারটা ও অনেক জোস। ডিসপ্লে ও অনেক স্মুথ। গেইমিং খেলে ও দারুনভাবে উপভোগ করছি। এছাড়া, দারাজের প্যাকেজিং টা দেখার মতোই। অনেক মজবুতভাবেই প্যাক করেছে। অসংখ্য ধন্যবাদ Daraz এবং infinix",Smartphone
আলহামদুলিল্লাহ কি বলে ধন্যবাদ জানাবো দারাজ এবং সেলার ভাইকে অনেক সুন্দর মোবাইলটা বাস্তবে। এত কম দামে এত সুন্দর একটা মোবাইল দেয়ার জন্য। আমি দারাজ থেকে সব সময় পণ্য অডার করতে থাকি। আমার খুব ভালো লাগে। ধন্যবাদ আপনারা সবাই নিতে পারেন সমস্যা নাই। এত কম দামে মোবাইল। ❤️❤️❤️❤️❤️❤️❤️❤️,Smartphone
অসাধারণ একটা ফোন কম বাজেট হলেও অসাধারণ আপনারা ও ছাইলে নিতে পারেন আমি 19/9/23 অর্ডার করি 20/9/23হাতে পেয়েছি পেকেজিংটা খুবই সুন্দর ছিল,Smartphone
আলহামদুলিল্লাহ। ফুল ইনটেক প্রোডাক্ট পায়ছি। প্রথমে অনেক ভয় পায়ছিলাম নানা জনের নানা কথা শুনে। তবে দারাজের প্রতি ভরসা ছিল। তার উপর ভরসা করে অর্ডার দিই। মোবাইলটা অনেক ভালো ও যেটা অর্ডার করছি সেটা পাইছি। মজার ব্যাপার হলো 🤭 সেই মোবাইল থেকে রিভিউ টা দিচ্ছি🥰🥰 ধন্যবাদ দারাজকে ধন্যবাদ সেলার ও ডেলিভারি কর্মীদের।,Smartphone
ইনফিনিক্স আর দারাজ আর কি লাগে খুশি হতে? দারুন অফার আর ডিস্কাউন্ট এ ইনফিনিক্স মোবাইল নিলাম দারাজ থেকে। আপনিও নিন অথেন্টিক প্রডাক্ট আর সাথে ওয়ারেন্টি আপনাকে দেবে পিস অফ মাইন্ড। আশা করি খুশি হবেন। বেস্ট অফ লাক। ধন্যবাদ দারাজ। আর হ্যা ক্রেডিট কার্ড এ ডিস্কাউন্ট টা রেখ।,Smartphone
"অনেক ভালো আছে, নিতে পারেন",Smartphone
আলহামদুলিল্লাহ দারাজে প্রথম অডার দিলাম দারাজ থেকে। সব কিছু ঠিকটাক আলহামদুলিল্লাহ! অনেক অনেক ধন্যবাদ। সময়ের আগেই সব পেয়েছি। আলহামদুলিল্লাহ ডেলিবারি ম্যানের ব্যবহার অনেক ভালো।,Smartphone
Intact ছিলো।কোনো সমস্যা আপাতত নেই।ব্যবহার করে পুনরায় বলবো কি অবস্থা।ভালোই লাগছে এখন।,Smartphone
বিশেষ প্রয়োজনে একাধিক কিনেছি। আলহামদুলিল্লাহ প্রডাক্ট এবং সেলার সার্ভিস খুবই ভাল। আর দারাজ ত বেশ সুন্দর অফার দিয়েছে। ধন্যবাদ আপনাদের। ডিসকাউন্ট টা বেশি দিলে আরো খুশি হতাম। আরো ডিস্কাউন্ট চাই। ক্যাশ ডিস্কাউন্ট,Smartphone
"দারুন ফোন দারুন দাম দারুন ডেলিভারি । ধন্যবাদ দারাজ। ক্রেডিট কার্ড এ আরো বেশি সুবিধা দিও প্লিজ। আমরা অনেক কেনা কাটা করতে চাই। সবাই নিতে পারেন, ডিস্কাউন্ট এ এমন অসাধারণ প্রডাক্ট।",Smartphone
প্রাইস হিসাবে বেশ ভালো ফোন।ডিজাইন ও ভালো। ইন্ট্যাক্ট বক্স। দারাজ থেকে ছাড় ও পেয়েছি। সুতরাং দোকানের চেয়ে প্রাইস কম এ পেয়েছি।যথাসময় এ ডেলিভারি পেয়েছি।,Smartphone
ফোনটা ক্যাশ অন ডেলিভারিতে অর্ডার করেছিলাম আলহামদুলিল্লাহ হাতে পেয়েছি।প্যাকেজিং এর ভিতরে মোবাইল এবং সবকিছু ঠিকঠাক ছিল।তবে সেলারকে মেসেজ দিলে রেসপন্স পাওয়া যায়না।ডেলিভারিও একটু দেরিতে পেয়েছি।এই টাকার মধ্যে মোবাইলটা ভালোই হবে আশা করছি।ধন্যবাদ দারাজ টিমকে।,Smartphone
Alhamdulillah ❤️❤️🥰🥰আমার খুব পছন্দ হইছে। ২দিন চালিয়ে রিভিউ দিলাম। আপনারা চাইলে নিতে পারেন।,Smartphone
আহ! আলহামদুলিল্লাহ খুবই ভাল ভাবে প্রডাক্ট হাতে পেয়েছি। আরো ডিস্কাউন্ট চাই যাতে বেশক বেশি কিনতে পারি। কার্ড পেমেন্ট এ ডিস্কাউন্ট বাড়ান।,Smartphone
"যেমনটা চেয়েছিলাম, তেমনটাই পেয়েছি, ধন্যবাদ দ্বারাজ কে, প্যাকেজিং খুব ভালো ছিল,",Smartphone
"সব কিছু ঠিক টাক, ইনটেক বক্স ছিলো, ডেলিভারি ও কুইক ছিলো, তবে পারফরম্যান্স টা কিছু স্লো,বাকি সব কিছু ঠিক আছে,,overall এই প্রাইস রেঞ্জ এর মাঝে এইটাই বেস্ট",Smartphone
যেমনটা চেয়েছিলাম তেমনি পেয়েছি। আপাতত কোনো সমস্যা হচ্ছে না। ডেলিভারি দেরি হইছে।,Smartphone
একজনকে ঈদের Gift হিসেবে দেবার জন্য নিয়েছি।এই দামে এটা বেশ ভালো মনে হয়েছে।parformence কেমন পরে ওর কাছ থেকে জেনে shere করবো ইনশাআল্লাহ ।,Smartphone
সুন্দর একটি মোবাইল। ধন্যবাদ ইনফিনিক্স এবং দারাজ কে❤️,Smartphone
"খুব ভালো লেগেছে ফোনটা, এই দামে বেস্ট",Smartphone
ধন্যবাদ দারাজ কে অনেক অনেক সুন্দর হয়েছে ফোন টা আর সেলার টাও অনেক ভালো ছিলো ধন্যবাদ,Smartphone
"সবকিছুর উর্ধগতির বাজারে, এই দামে ইনফিনিক্স এর এ মোবাইল টা খুবই ভাল, আমি ২ জনকে কিনে দিয়েছি,আরো অনেককে সাজেস্ট করেছি....",Smartphone
মোবাইলটা আমার অনেক পছন্দ হয়েছে দামও অনেক কম ছিল,Smartphone
ধন্যবাদ দারাজ। সুলভ মূল্যে অরিজিনাল পন্য পেয়েছি।,Smartphone
ভালো ঠিক আছে। 🙂,Smartphone
দারাজ মানেই ভরসার যায়গা,Smartphone
ফোন টা দেখতে অনেক সুন্দর। সাথে বেক কভার ও ছিলো। আমার ৮৯২০ টাকা পড়েছে।,Smartphone
অসাধারণ একটা ফোন সবাই নিঃসন্দেহ নিতে পারেন,Smartphone
আমার কাকাকে কিনে দিছি আমি আল্লাহ্ রহমতে ভালো হয় যনো,Smartphone
প্যাকিজিং সুন্দর ছিলো। অফারে কম টাকায় দেওয়ার জন্য ধন্যবাদ ইনফিনিক্স।,Smartphone
সেরম অইছেরে! কল্পনা ছিলনা এত ভাল হবে। 🥰❤️🥰🥰🥰🥰🥰🥰,Smartphone
"আলহামদুলিল্লাহ, খুব সুন্দর সবাই নিতে পারেন। ❤️❤️❤️",Smartphone
আলহামদুলিল্লাহ ভালো সবাই নিতে পারেন,Smartphone
"এই দামে ভালো জিনিস,,,সবকিছুই টিকটাক",Smartphone
আলহামদুলিল্লাহ। অনেক ভালো।,Smartphone
এই দামে ভালো ফোন।,Smartphone
মোটামুটি ভালো তবে অনেক দেরিতে দিছে,Smartphone
অসাধারণ ডিজাইন। পাফম ভালো হবে আশাকরি।,Smartphone
ভালো গুড,Smartphone
খুবই ভালো প্রোডাক্ট,Smartphone
অসাধারণ একটা ফোন হয়েছে আমি এখান থেকে নিয়েছি। আপনারা চাইলে নিতে পারেন অনেক ফাস্ট ডেলিভারি পেয়েছি।। ডেলিভারি ম্যান শরিফুল ভাইকে অসংখ্য ধন্যবাদ,Smartphone
অল্পতেই ফোন গরম হয়ে যায়।,Smartphone
"কোন ওয়ারেন্টি কার্ড পাইনি, ক্রয় রশিদও পাইনি। প্রোডাক্ট ঠিকঠাক পেয়েছি।",Smartphone
"২৯ তারিখে রাতে অর্ডার দিয়েছি, পরের দিন হাতে পেয়েছি। যেমন চেয়েছি তেমনি পেয়েছি। অসংখ্য ধন্যবাদ।",Smartphone
"রিয়েলমি ফ্লেগশিপ স্টোর থেকে নেয়া। খুব দ্রুত ডেলিভারি পেয়েছি। অরিজিনাল প্রোডাক্ট। ধন্যবাদ দারাজ ধন্যবাদ রিয়েলমিকে। সাথে কোন ওয়ারেন্টি কার্ড নাই, এটা ওয়ারেন্টি ক্লেইম করব কিভাবে?",Smartphone
মোটা মোটি ভালই,Smartphone
এক কথায় বলা যেতে পারে খুবই সুন্দর চাইলে আপনারা সবাই নিতে পারেন ধন্যবাদ দারাজ এবং সেলার কে এত সুন্দর প্রোডাক্ট দেওয়ার জন্য মোবাইলের ছবি দিতে পারলাম না ❤️❤️❤️❤️,Smartphone
আশানুতপতিক অনেক ভালো পেয়েছি ছেলেরও অনেক ভালো ছিল আপনারা চাইলে নিতে পারেন অনেক ভালো,Smartphone
অসাধারণ মোবাইল ডিজাইন,Smartphone
দ্রুত ডেলিভারি দেওয়ার জন্য দারাজ কে এবং সেলারকে ধন্যবাদ,Smartphone
"perfect pack, well delivery বাট সেলার মেসেজের রিপ্লে দেয় না",Smartphone
"অনেক অনেক ধন্যবাদ দারাজ,,, যেমন চাইছিলাম ঠিক তেমনই পাইছি,,,",Smartphone
"ডেলিভারি চার্জ দেয়ার পরও আপনাদের ডেলিভারী মেন আমাকে ফোন করে বলে শায়েস্তাগঞ্জ অফিসে আপনার পন্যটি নিয়ে যান, পরবর্তীতে বাধ্য হয়ে আমি শায়েস্তাগঞ্জ গিয়ে আমার ফোনটি রিসিভ করি। আমার প্রশ্ন হলো আমি ডেলিভারি চার্জ দেয়ার পরও কেন আমার উল্লেখিত ঠিকানায় পণ্যটি এনে দেয়া হয়নি? আমি অফিসে গিয়ে মোবাইলটি আনার পরও চার্জ কেন নেয়া হলো?",Smartphone
কথায় এক কাজে আরেক🤔🤔,Smartphone
মোটামুটি ভালো বডি ফিনিশিং ততটা ভালো না। দাম হিসেবে ঠিক আছে।,Smartphone
অথেনটিক ব্র‍্যান্ডেড প্রোডাক্ট। সব কিছই ওকে ছিলো। তবে ডেলিভারি সার্ভিস থার্ডক্লাস। এ বিষয়ে স্টোর থেকেও কোনো হেল্প করা হয়নি। কোনো যোগাযোগ ছাড়াই ডেলিভারি এ্যাটেম্পট ফেইল দেখিয়েছে ২ দিন। ৩য় দিন কাস্টমার কেয়ারে ফোন দিয়ে রাইডার এর নাম্বার নিয়ে ফোন দিয়ে ডেলিভারি নেয়া লাগসে তাও রাত ৯ টার পর।,Smartphone
যেমন চেয়েছিলেন সেটা পেয়েছি। অনেক ভালো সবাই নিতে পারেন।,Smartphone
ভাল ছিল।,Smartphone
☺️☺️সোলার ভাই অনেক ভালো। ভাইয়ের কথা না বললে নয়🌼❤️এরকম সোলার থাকলে দারাজ অবশ্যই অনেক ভালো কিছু করতে পারবে ইনশাল্লাহ ❤️❤️🌼😇,Smartphone
আলহামদুলিল্লাহ দ্রুত সময়ের মধ্যে জেনুইন প্রোডাক্ট ডেলিভারি দিয়েছে,Smartphone
অসাধারন হয়েছে।,Smartphone
ফোন সব কিছু ঠিক আছে কিন্ত ছবি তোলার পর এতো বাজে দেখা যায় ক্যামেরা একদমই ভালো নয়।,Smartphone
মোবাইলটা কিছুটা স্লো কাজ করে। আর চার্জারটা টাইপ'সি হলেও খুবই নরমাল হয়ে গেছে যার কারনে অল্পতেই গরম হয়ে যায়। আর কত watt তা কোথাও উল্লেখ নাই। চার্জারটি একটু হেবি হলে ভালো হতো।,Smartphone
সবকিছু দ্বারুন। ক্যামেরাটা আর একটু ভালো হতে পারতো।সেটিংস থেকে my profile এর উপরে ক্লিক করে E-warrenty card ডাউনলোড করে IMEI যাচাই করেছি বিটিআরসি এর অন্তর্ভুক্ত পেয়েছি।এটা ভালো লেগেছে।❤️,Smartphone
"দাম হিসেবে মোবাইল ফোন টি ভালো , তবে রাইডার একটু ত্যরা টাইপের অনেক খারাপ ব্যাবহার করছে । আর সেলার তো কোন মেসেজ এর রিপ্লাই দেয় না। তাই সেলার ও ভালো না ।",Smartphone
রাতে অর্ডার দিয়েছিলাম পরদিন সকালে হাতে পেলাম। সপ্তাহ যাবত সেট টি ব্যবহার করছি। ব্যবহারে ভালই স্বাচ্ছন্দ্যবোধ করছি।,Smartphone
এত কম মুল্যে এমন ফোন শুধু মাএ Infinix এই সম্ভব ধন্যবাদ,Smartphone
"ডেলিভারি অনেক ফাস্ট ছিল , আলহামদুলিল্লাহ সঠিক পন্য সব মিলিয়ে ঠিকঠাক",Smartphone
একদম অরজিনাল।,Smartphone
"আলহামদুলিল্লাহ খুব ভালো প্রোডাক্ট, খুব খুশি আমি❤️",Smartphone
এই দামে বেস্ট পারফর্ম করা মোবাইল।,Smartphone
দাম অনুযায়ী মান টিক আছে,Smartphone
ভালো মানের মোবাইল নিতে পারেন।,Smartphone
দাম অনুযায়ী ভালো আছে,Smartphone
অসাধারণ মোবাইল নিতে পারেন সবাই?,Smartphone
অরিজিনাল পোডাক্ট।,Smartphone
সেলার একটু ভালো না। কোন সমস্যা হলে আপনি তাকে আর কিছু বলতেই পারবেন না। মেসেজ করলে সে উত্তর দেয় না,Smartphone
বাজে ফোন আনঅফিশিয়াল ফোন। কেউ নিবেন না। সেলার খুব ফালতু।,Smartphone
হ্যাং করে ভালোনা রিটান করার কথ ১৪ দিনের ভিতর কিন্তু তারা যোগাযোক করেনি মাদারের বাচ্ছারা দারজ এইসব ফালতু মাল পারমিট দেয়া উচুত না এর একটা ব্যাবোস্তা নিন না হলে ভালো হবেনা...?,Smartphone
"সাথে ইয়ারফোন, স্ক্রিন প্রটেক্টর নাই। অবশ্য ব্যাক কভার আছে।ভালো প্যাকেজিং। আপাত দৃষ্টিতে দেখে ইনটেকই মনে হচ্ছে। কোম্পানি প্রতারণা করলে কিছু করার নেই! নতুন ইউজ করা ফোন যদি প্রবলেম এর কারনে গ্রাহক থেকে নিয়ে আবার রিপেয়ার করে চকচকা স্টিকার লাগিয়ে আমাদের দেয় তাহলে ধরার উপায় নেই। এখন কেমন চলে দেখার বিষয়। ভালো চললে সাকসেস। দারাজের ক্রেডিট। থ্যাংকস দারাজ, থ্যাংকস ইনফিনিক্স এন্ড পেমেন্ট পার্টনার সাউথইস্ট ব্যাংক। ভাউচার, সাউথইস্ট ব্যাংকের কার্ড দিয়ে পেমেন্ট করে মাত্র ১১০৯৯ টাকায় পেয়েছি। 🥰😍🙂",Smartphone
এই প্রাইজে ভালো ডিল কিন্তু মোবাইল মাঝে মাঝে হ্যাং করে। তখন রিস্টার্ট দেয়া লাগে। এছাড়া ক্যামেরা ভালো।,Smartphone
