cleaned_stopwords,Sentiment
নিঃ সন্দেহে বাজেটে সেরা ফোন। কালারটা জোস। ডিসপ্লে স্মুথ। গেইমিং খেলে দারুনভাবে উপভোগ করছি। এছাড়া দারাজের প্যাকেজিং টা দেখার মতোই। মজবুতভাবেই প্যাক করেছে। অসংখ্য ধন্যবাদ Daraz infinix,1
আলহামদুলিল্লাহ ধন্যবাদ জানাবো দারাজ সেলার ভাইকে সুন্দর মোবাইলটা বাস্তবে। কম দামে সুন্দর একটা মোবাইল দেয়ার জন্য। দারাজ সময় পণ্য অডার থাকি। ভালো লাগে। ধন্যবাদ আপনারা সবাই সমস্যা নাই। কম দামে মোবাইল।,1
অসাধারণ একটা ফোন কম বাজেট অসাধারণ আপনারা ছাইলে অর্ডার হাতে পেয়েছি পেকেজিংটা খুবই সুন্দর,1
আলহামদুলিল্লাহ। ফুল ইনটেক প্রোডাক্ট পায়ছি। প্রথমে ভয় পায়ছিলাম কথা শুনে। দারাজের ভরসা ছিল। ভরসা অর্ডার দিই। মোবাইলটা ভালো যেটা অর্ডার করছি পাইছি। মজার ব্যাপার মোবাইল রিভিউ টা দিচ্ছি ধন্যবাদ দারাজকে ধন্যবাদ সেলার ডেলিভারি কর্মীদের।,1
ইনফিনিক্স দারাজ লাগে খুশি দারুন অফার ডিস্কাউন্ট ইনফিনিক্স মোবাইল নিলাম দারাজ থেকে। আপনিও নিন অথেন্টিক প্রডাক্ট সাথে ওয়ারেন্টি আপনাকে দেবে পিস অফ মাইন্ড। আশা খুশি হবেন। বেস্ট অফ লাক। ধন্যবাদ দারাজ। হ্যা ক্রেডিট কার্ড ডিস্কাউন্ট টা রেখ।,1
ভালো,1
আলহামদুলিল্লাহ দারাজে অডার দিলাম দারাজ থেকে। ঠিকটাক আলহামদুলিল্লাহ ধন্যবাদ। সময়ের পেয়েছি। আলহামদুলিল্লাহ ডেলিবারি ম্যানের ভালো।,1
Intact ছিলো।কোনো সমস্যা আপাতত নেই।ব্যবহার পুনরায় বলবো অবস্থা।ভালোই লাগছে এখন।,1
প্রয়োজনে একাধিক কিনেছি। আলহামদুলিল্লাহ প্রডাক্ট সেলার সার্ভিস খুবই ভাল। দারাজ ত সুন্দর অফার দিয়েছে। ধন্যবাদ আপনাদের। ডিসকাউন্ট টা দিলে আরো খুশি হতাম। আরো ডিস্কাউন্ট চাই। ক্যাশ ডিস্কাউন্ট,1
দারুন ফোন দারুন দাম দারুন ডেলিভারি । ধন্যবাদ দারাজ। ক্রেডিট কার্ড আরো সুবিধা দিও প্লিজ। কেনা কাটা চাই। সবাই ডিস্কাউন্ট অসাধারণ প্রডাক্ট।,1
প্রাইস ভালো ফোন।ডিজাইন ভালো। ইন্ট্যাক্ট বক্স। দারাজ ছাড় পেয়েছি। দোকানের চেয়ে প্রাইস কম পেয়েছি।যথাসময় ডেলিভারি পেয়েছি।,1
ফোনটা ক্যাশ অন ডেলিভারিতে অর্ডার করেছিলাম আলহামদুলিল্লাহ হাতে পেয়েছি।প্যাকেজিং ভিতরে মোবাইল সবকিছু ঠিকঠাক ছিল।তবে সেলারকে মেসেজ দিলে রেসপন্স পাওয়া যায়না।ডেলিভারিও একটু দেরিতে পেয়েছি।এই টাকার মোবাইলটা ভালোই আশা করছি।ধন্যবাদ দারাজ টিমকে।,1
Alhamdulillah পছন্দ হইছে। চালিয়ে রিভিউ দিলাম। আপনারা চাইলে পারেন।,1
আহ আলহামদুলিল্লাহ খুবই ভাল প্রডাক্ট হাতে পেয়েছি। আরো ডিস্কাউন্ট চাই বেশক কিনতে পারি। কার্ড পেমেন্ট ডিস্কাউন্ট বাড়ান।,1
যেমনটা চেয়েছিলাম তেমনটাই পেয়েছি ধন্যবাদ দ্বারাজ প্যাকেজিং ভালো,1
টাক ইনটেক বক্স ছিলো ডেলিভারি কুইক ছিলো পারফরম্যান্স টা স্লোবাকি আছেoverall প্রাইস রেঞ্জ মাঝে এইটাই বেস্ট,1
যেমনটা চেয়েছিলাম তেমনি পেয়েছি। আপাতত সমস্যা না। ডেলিভারি দেরি হইছে।,1
একজনকে ঈদের Gift হিসেবে দেবার নিয়েছি।এই দামে ভালো হয়েছে।parformence কেমন জেনে shere করবো ইনশাআল্লাহ ।,1
সুন্দর মোবাইল। ধন্যবাদ ইনফিনিক্স দারাজ,1
ভালো লেগেছে ফোনটা দামে বেস্ট,1
ধন্যবাদ দারাজ সুন্দর হয়েছে ফোন টা সেলার টাও ভালো ছিলো ধন্যবাদ,1
সবকিছুর উর্ধগতির বাজারে দামে ইনফিনিক্স মোবাইল টা খুবই ভাল কিনে দিয়েছিআরো অনেককে সাজেস্ট করেছি,1
মোবাইলটা পছন্দ দামও কম,1
ধন্যবাদ দারাজ। সুলভ মূল্যে অরিজিনাল পন্য পেয়েছি।,1
ভালো আছে।,1
দারাজ মানেই ভরসার যায়গা,1
ফোন টা সুন্দর। সাথে বেক কভার ছিলো। টাকা পড়েছে।,1
অসাধারণ একটা ফোন সবাই নিঃসন্দেহ,1
কাকাকে কিনে দিছি আল্লাহ্ রহমতে ভালো যনো,1
প্যাকিজিং সুন্দর ছিলো। অফারে কম টাকায় দেওয়ার ধন্যবাদ ইনফিনিক্স।,1
সেরম অইছেরে কল্পনা ছিলনা ভাল হবে।,1
আলহামদুলিল্লাহ সুন্দর সবাই পারেন।,1
আলহামদুলিল্লাহ ভালো সবাই,1
দামে ভালো জিনিসসবকিছুই টিকটাক,1
আলহামদুলিল্লাহ। ভালো।,1
দামে ভালো ফোন।,1
মোটামুটি ভালো দেরিতে দিছে,1
অসাধারণ ডিজাইন। পাফম ভালো আশাকরি।,1
ভালো গুড,1
খুবই ভালো প্রোডাক্ট,1
অসাধারণ একটা ফোন এখান নিয়েছি। আপনারা চাইলে ফাস্ট ডেলিভারি পেয়েছি।। ডেলিভারি ম্যান শরিফুল ভাইকে অসংখ্য ধন্যবাদ,1
অল্পতেই ফোন গরম হয়ে যায়।,0
ওয়ারেন্টি কার্ড পাইনি ক্রয় রশিদও পাইনি। প্রোডাক্ট ঠিকঠাক পেয়েছি।,2
তারিখে রাতে অর্ডার দিয়েছি পরের হাতে পেয়েছি। চেয়েছি তেমনি পেয়েছি। অসংখ্য ধন্যবাদ।,1
রিয়েলমি ফ্লেগশিপ স্টোর নেয়া। দ্রুত ডেলিভারি পেয়েছি। অরিজিনাল প্রোডাক্ট। ধন্যবাদ দারাজ ধন্যবাদ রিয়েলমিকে। সাথে ওয়ারেন্টি কার্ড ওয়ারেন্টি ক্লেইম করব কিভাবে,2
মোটা মোটি ভালই,1
এক কথায় খুবই সুন্দর চাইলে আপনারা সবাই ধন্যবাদ দারাজ সেলার সুন্দর প্রোডাক্ট মোবাইলের ছবি পারলাম,1
আশানুতপতিক ভালো পেয়েছি ছেলেরও ভালো আপনারা চাইলে ভালো,1
অসাধারণ মোবাইল ডিজাইন,1
দ্রুত ডেলিভারি দারাজ সেলারকে ধন্যবাদ,1
perfect pack well delivery বাট সেলার মেসেজের রিপ্লে দেয়,1
ধন্যবাদ দারাজ চাইছিলাম তেমনই পাইছি,1
ডেলিভারি চার্জ দেয়ার পরও আপনাদের ডেলিভারী মেন ফোন শায়েস্তাগঞ্জ অফিসে পন্যটি পরবর্তীতে বাধ্য হয়ে শায়েস্তাগঞ্জ ফোনটি রিসিভ করি। প্রশ্ন ডেলিভারি চার্জ দেয়ার পরও উল্লেখিত ঠিকানায় পণ্যটি এনে দেয়া হয়নি অফিসে মোবাইলটি আনার পরও চার্জ নেয়া,0
কথায় এক আরেক,0
মোটামুটি ভালো বডি ফিনিশিং ততটা ভালো না। দাম হিসেবে আছে।,2
অথেনটিক ব্র্যান্ডেড প্রোডাক্ট। কিছই ছিলো। ডেলিভারি সার্ভিস থার্ডক্লাস। বিষয়ে স্টোর হেল্প হয়নি। যোগাযোগ ছাড়াই ডেলিভারি এ্যাটেম্পট ফেইল দেখিয়েছে দিন। য় কাস্টমার কেয়ারে ফোন দিয়ে রাইডার নাম্বার ফোন দিয়ে ডেলিভারি নেয়া লাগসে রাত টার পর।,2
চেয়েছিলেন পেয়েছি। ভালো সবাই পারেন।,1
ভাল ছিল।,1
সোলার ভাই ভালো। ভাইয়ের কথা বললে নয়এরকম সোলার থাকলে দারাজ অবশ্যই ভালো পারবে ইনশাল্লাহ,1
আলহামদুলিল্লাহ দ্রুত সময়ের জেনুইন প্রোডাক্ট ডেলিভারি,1
অসাধারন হয়েছে।,1
ফোন কিন্ত ছবি তোলার এতো বাজে যায় ক্যামেরা একদমই ভালো নয়।,2
মোবাইলটা কিছুটা স্লো করে। চার্জারটা টাইপসি খুবই নরমাল হয়ে কারনে অল্পতেই গরম হয়ে যায়। watt কোথাও উল্লেখ নাই। চার্জারটি একটু হেবি ভালো হতো।,0
সবকিছু দ্বারুন। ক্যামেরাটা একটু ভালো পারতো।সেটিংস my profile ক্লিক Ewarrenty card ডাউনলোড IMEI যাচাই করেছি বিটিআরসি অন্তর্ভুক্ত পেয়েছি।এটা ভালো লেগেছে।,1
দাম হিসেবে মোবাইল ফোন ভালো রাইডার একটু ত্যরা টাইপের খারাপ ব্যাবহার । সেলার মেসেজ রিপ্লাই না। সেলার ভালো ।,0
রাতে অর্ডার দিয়েছিলাম পরদিন সকালে হাতে পেলাম। সপ্তাহ যাবত সেট করছি। ব্যবহারে ভালই স্বাচ্ছন্দ্যবোধ করছি।,1
কম মুল্যে ফোন মাএ Infinix সম্ভব ধন্যবাদ,1
ডেলিভারি ফাস্ট আলহামদুলিল্লাহ সঠিক পন্য মিলিয়ে ঠিকঠাক,1
একদম অরজিনাল।,1
আলহামদুলিল্লাহ ভালো প্রোডাক্ট খুশি,1
দামে বেস্ট পারফর্ম মোবাইল।,1
দাম অনুযায়ী মান টিক,1
ভালো মানের মোবাইল পারেন।,1
দাম ভালো,1
অসাধারণ মোবাইল সবাই,1
অরিজিনাল পোডাক্ট।,1
সেলার একটু ভালো না। সমস্যা বলতেই পারবেন না। মেসেজ দেয়,0
বাজে ফোন আনঅফিশিয়াল ফোন। নিবেন না। সেলার ফালতু।,0
হ্যাং ভালোনা রিটান কথ দিনের ভিতর যোগাযোক করেনি মাদারের বাচ্ছারা দারজ এইসব ফালতু মাল পারমিট দেয়া উচুত একটা ব্যাবোস্তা নিন ভালো হবেনা,0
সাথে ইয়ারফোন স্ক্রিন প্রটেক্টর নাই। ব্যাক কভার আছে।ভালো প্যাকেজিং। আপাত দৃষ্টিতে ইনটেকই হচ্ছে। কোম্পানি প্রতারণা ইউজ ফোন প্রবলেম কারনে গ্রাহক রিপেয়ার চকচকা স্টিকার লাগিয়ে ধরার উপায় নেই। কেমন দেখার বিষয়। ভালো চললে সাকসেস। দারাজের ক্রেডিট। থ্যাংকস দারাজ থ্যাংকস ইনফিনিক্স এন্ড পেমেন্ট পার্টনার সাউথইস্ট ব্যাংক। ভাউচার সাউথইস্ট ব্যাংকের কার্ড দিয়ে পেমেন্ট টাকায় পেয়েছি।,2
প্রাইজে ভালো ডিল মোবাইল মাঝে মাঝে হ্যাং করে। রিস্টার্ট দেয়া লাগে। এছাড়া ক্যামেরা ভালো।,2
প্রথমত k বাজেট হিসেবে ফোন ভালো হেভি ইউজের জন্যে ফোন না। ক্যাশ মেমো ডকুমেন্টস দেয়নি সেলার রেসপন্স নাই।।,2
দারুন একটা ফোন তাড়াতাড়ি ডেলিভারি পেয়েছি ধন্যবাদ সেলার দারাস টিমকে। ফোনটি বাজারের টাকা কম পেয়েছে।,1
চালানোর review দিচ্ছি ভালো product। আশা করেছিলাম তেমনি পাইছি।,1
আলহামদুলিল্লাহ ফোনটা সুন্দর দ্রুত পাইছিলাম সেলার ভাইকে ধন্যবাদ মূল বিষয় ভাই দারাজ ফেক আপনারা চাইলে বিশ্বাস বিশ্বাস মাল কিনতে নির্ভরযোগ্য অ্যাপস।,1
আলহামদুলিল্লাহ্ ভালো লাগলো।,1
এক কথায় অসাধারণ,1
ঠিকঠাক প্রোডাক্ট পেয়েছি,1
অসম্ভব সুন্দর,1
সেলার ভাল।সময় মত হাতে পাইছিযেমন টা চেয়েছি টাই পাইছি।,1
সেটের ক্যামেরা ততটা ভালো না।আর ভালো।ডেলিভারি ম্যান সার্ভিস খুবই আন্তরিক অমায়িক।,2
মোবাইল ফোনটা সুন্দর ফোনে G নেটওয়ার্ক সাপোর্ট সন্দেহ আছে। মেইন সমস্যা IMEI number চেক ওয়ারেন্টি কার্ড পাইনি। আশা সেলার ভাই সমস্যাগুলো সমাধান করবেন। ধন্যবাদ দারাজ সেলার ভাই।,2
camera mp অনুযায়ী ছবি ভালো উঠে না। এটার আগের মোবাইলের camera mp তে ভালো ছবি উঠে।,0
কম বাজেটে ভালো একটা মোবাইল ফোন স্যালার ভালো তাড়াতাড়ি পেয়েছি,1
পেয়েছি ওয়ারেন্টি পাবো কিভাবে বুঝলাম ক্যাশ মেমো কার্ড,2
ধন্যবাদ তাড়াতাড়ি ডেলিভারি দেয়ার,1
সুন্দর একটা দামে সুন্দর একটা মোবাইল পেয়েছে। সাথে ভালো আইটেমই পেয়েছি।,1
সুন্দর একটা ফোন বাজেটে জিবি র্যাম ফোন কোয়ালিটি ব্র্যান্ডের ফোন প্রসেসর ক্যামেরা বেস্ট একটা ফোন,1
দামে রেম রুম সন্তোষ্টি ছাড়া আহামরি নয়।,1
দ্রুত ডেলিভারি পেয়েছি রিভিউ দিচ্ছি ঠাক অরিজিনাল প্রোডাক্ট পেয়েছি।,1
ব্যবহারের মন্তব্য লিখছি। ফোনটি ভালোই । গ্লোবাল ভার্সন। চার্জের সময় গেমিংয়ের সময় ওভারহিটিংয়ের সমস্যা এখনো পাইনি।,1
আলহামদুলিল্লাহ ফোন টা সুন্দর ধন্যবাদ সেলার ডেলিভারি ম্যানকে ফোন টা খুলে চেক দিয়েছে,1
নীল কালার দিয়ে কালো দিয়ে ছেন ভালো ধন্যবাদ,2
দ্রুত মোবাইল পাঠানো হয়েছে খুবই ভালোভাবে প্যাকেজিং ছিলো,1
চাইছিলাম তেমনই হইছে ধন্যবাদ দারাজ,1
ভালো সবসময় সময় লাগবে,1
খুবই ভালো মনের সবাই।,1
ভালোই,1
সেলার লেট রিপ্লাই দেয়। প্রোডাক্ট শিপমেন্টে দেয়ার রিপ্লাই লাভ,0
অথেনটিক অফিসিয়াল প্রোডাক্ট। বাজেটে ভালো ফোন। ক্যামেরা ভালো দাম অনুযায়ী। ব্যাটারী ব্যাকআপ ভালো। ফোনের ডিজাইন খারাপ না। দিক বিবেচনায় ভালো ফোন দামে। ধন্যবাদ Realme Bd Daraz Bd কে।,1
Daraz Campaign realme c মোবাইল ক্রয় করলাম কম দামে। credit card prepayment আরো টাকা কম রিসিভ কয়েন। এক সপ্তাহ রিভিউ দিলাম। সেট আসলেই Champion ধন্যবাদ Realme Daraz জুরাছড়ির মত পার্বত্য এলাকায় অতি দ্রুত ডেলিভারি দেওয়ার জন্য।,1
পছন্দ হয়েছে,1
সুন্দর ফোন। ধন্যবাদ দারাজ যথাসময়ে ডেলিভারি দেওয়ার জন্য।,1
এইটা টা রিয়েলমি ফোন নিলাম দারাজ থেকে। সবগুলোই ঠিকঠাক আছে। ফোন কিনার অবশ্যই অথেনটিক স্টোর নিবেন সবসময়। দ্রুত ডেলিভারি পেয়েছি।,1
অর্ডার করলাম Rainy Night পেলাম। Sunshower এইটা কেমন ভাই,2
ভালো ফোন তারাতাড়ি ডেলিভারি পেয়েছি ধন্যবাদ সেলার ধন্যবাদ দারাজ,1
দিনেই ডেলিভারি পেয়েছি,1
ভাল‌ো ফ‌োন। ডে‌লিভা‌রিও ফাস্ট ছিল।,1
দারুন চলছে। ওজন টা একটু,2
দ্রুত সময়ের ডেলিভারি পেয়েছি। ওয়ারেন্টি রিলেটেড ডকুমেন্ট সেলস রিসিপ্ট পাইনি।,2
গ্রেট সার্ভিস যোদিও EMI এক্টিভ এখনো নাই।।,1
তিন দিনেই হাতে পেলাম। অথেনটিক। দেখি সার্ভিস কেমন।,1
ডেলিভারিম্যান সার্ভিস ভালো,0
ডেলিভারি ধন্যবাদ,1
ভাল হইছে,1
নাইচ ফোন,1
খুবই ভালো,1
খুবই নিম্নমানের নেটওয়ার্ক চিপ হয়েছে ফোনটিতে। এক দাগ নেটওয়ার্ক কম কথা থাকলেই অপর পাশ শোনা যায়না। যেসব এলাকায় সামান্য নেটওয়ার্ক সমস্যা সেসর এলাকায় ফোনটি ব্যবহারে সমস্যা হবে। বাকি মোটামুটি আছে।,2
ডেলিভারি সার্বিস একদম কারাপ অামার দিনে পৌঁছে চালানোর কারাপ পায়নি কেমেরার ফোকাস দরে রাকতে ক্যামেরায় দুর্বলবাকি দাম হিসেবে হয়েছেআপনারা চাইলে কিনতে,2
ব্যাবহার review দিলাম ‌ ঠিকঠাক থাকলে মোবাইল নেটওয়ার্ক সমস্যায় আছি। কেননা মোবাইল নেটওয়ার্ক WIFI দুর্বল কাস্টমার কেয়ার বললো এইটা এমনই নেটওয়ার্ক ডিবাইস ভাল কিনবেন চিন্তাভাবনা কিনিয়েন। নেটওয়ার্ক পারফরম্যান্স হতাশ আশাকরি ।,2
ভালোই চার্জার কেবলে সমস্যা পেয়েছি,2
আলহামদুলিল্লাহ্ রিভিউ দিলাম ফোন একদম ধন্যবাদ দারাজ কেফোনের লুকিং স্পেশাল ডিপ্লেফাষ্ট চাজিং বেটারী ব্যাকআপ সাউন্ড ক্যামেরা নেট ঠাক টাকায় জিবি বেষ্ট ফোন সবাই চাইলে পারেন।,1
মোবাইল ফোনটি খুবই ভালো । সমস্যা মাস রিভিউ দিলাম। সকল সন্তুষ্ট। শুধুমাত্র ক্যামেরা পারফরম্যান্স একটু দুর্বল ফ্রন্ট ক্যামেরা। ছবিটা প্রত্যাশিত লেভেলে সুন্দর না। একটু উজ্জ্বল আলোতে ছবিটা নেগেটিভ যায়। এছাড়া বাকি সকল ক্ষেত্রেই হানডেটে হান্ড্রেড প্রাইস বিবেচনায়।,1
ইনটেক প্যাকেট পাইছি। প্যাকেজিং সুন্দর ছিল। দ্রুত হাতে পাইছি। কম বাজেটের ফোন হিসেবে আছে।,1
দ্রুত ডেলিভারি পেয়েছি। ডিসকাউন্ট পড়ছে। আলহামদুলিল্লাহ। শুনেছিলাম মোবাইলে নেটওয়ার্ক ইস্যু আছে। যাক। কেমন,1
