cleaned,Sentiment
এই প্রোডাক্ট একেবারে বাজে কেউ কিনবেন এরা ভুয়া রিভিউ কিনছে চার্জে দিলে মোবাইল আগুনের মতো গরম হয় প্রসেসর একেবারে বাজে ফেসবুক ভিডিও দেখলে মোবাইল কাপে মনে হয়   দিন রিটার্ন লিখেছে কিন্তু আমার প্রোডাক্ট রিটার্ন নিচ্ছে না যার যতেষ্ট কারন আছে সবাই এই প্রোডাক্ট কেনা থেকে বিরত থাকবেন ,0
মোবাইলটি সুবিধা নয়,0
কনফিগারেশন দেখে ভেবেছিলাম এটার টাইপ সি চার্জার থাকবে  পরে কিনে দেখি এটা আগের নরমাল চার্জার  ফলে চার্জ হতে সময় লাগে  আর ফ্রন্ট ক্যামেরা আরেকটু ভালো হলে ভালো হতো  রাফ ইউজের জন্য ঠিক আছে ,2
দুই সপ্তাহ ব্যবহার করলাম বালির সার্ভিস দিতাছে দেখা যাক,0
মোবাইল টা বুঝে পেয়েছি   ওর্ডার দিয়েছিলা নিল রঙের  বাট দিয়েছেন সাদা কালার  আর সেট মনে অনেক স্লো   আর ডেলিভারি ম্যান এর ব্যবহারটা বেশি ভালো না ,0
      কিছুটা      কাজ করে  ,0
যা চেয়েছি তাই পেয়েছি  প্যাকেট খোলার সময় ভিডিও করেছি  আশা করি ভবিষ্যতেও এমন সেবা অব্যাহত রাখবেন ,1
ফোনের টাচ রেসপন্স তুলনামূলক কম  তাছাড়া বাকিসব দাম হিসেবে ঠিক রয়েছে,2
আছে মোটামুটি এতোটা খারাপ না  ,1
মাশাল্লাহ  এবারই দারাজে মোবাইল প্রথম কেনা  অনেক সুন্দর প্যাকেজিং  ডেলিভারি ম্যান অনেক সকালে এসে দিলো  মাত্র  টাকায় কিনেছি  সেলার কোনো স্ক্রিণ প্রোটেকশন গ্লাস দেয়নি ইয়ারফোন ও দেয়নি  এখন কেমন চলে দেখার বিষয়  অনেক জিনিস কিনেছি আজকে দারাজ থেকে ,1
নিঃ সন্দেহে এই বাজেটে সেরা একটি ফোন  কালারটা ও অনেক জোস  ডিসপ্লে ও অনেক স্মুথ  গেইমিং খেলে ও দারুনভাবে উপভোগ করছি  এছাড়া  দারাজের প্যাকেজিং টা দেখার মতোই  অনেক মজবুতভাবেই প্যাক করেছে  অসংখ্য ধন্যবাদ       এবং        ,1
আলহামদুলিল্লাহ কি বলে ধন্যবাদ জানাবো দারাজ এবং সেলার ভাইকে অনেক সুন্দর মোবাইলটা বাস্তবে  এত কম দামে এত সুন্দর একটা মোবাইল দেয়ার জন্য  আমি দারাজ থেকে সব সময় পণ্য অডার করতে থাকি  আমার খুব ভালো লাগে  ধন্যবাদ আপনারা সবাই নিতে পারেন সমস্যা নাই  এত কম দামে মোবাইল                  ,1
অসাধারণ একটা ফোন কম বাজেট হলেও অসাধারণ আপনারা ও ছাইলে নিতে পারেন আমি    অর্ডার করি   হাতে পেয়েছি পেকেজিংটা খুবই সুন্দর ছিল,1
আলহামদুলিল্লাহ  ফুল ইনটেক প্রোডাক্ট পায়ছি  প্রথমে অনেক ভয় পায়ছিলাম নানা জনের নানা কথা শুনে  তবে দারাজের প্রতি ভরসা ছিল  তার উপর ভরসা করে অর্ডার দিই  মোবাইলটা অনেক ভালো ও যেটা অর্ডার করছি সেটা পাইছি  মজার ব্যাপার হলো   সেই মোবাইল থেকে রিভিউ টা দিচ্ছি   ধন্যবাদ দারাজকে ধন্যবাদ সেলার ও ডেলিভারি কর্মীদের ,1
ইনফিনিক্স আর দারাজ আর কি লাগে খুশি হতে  দারুন অফার আর ডিস্কাউন্ট এ ইনফিনিক্স মোবাইল নিলাম দারাজ থেকে  আপনিও নিন অথেন্টিক প্রডাক্ট আর সাথে ওয়ারেন্টি আপনাকে দেবে পিস অফ মাইন্ড  আশা করি খুশি হবেন  বেস্ট অফ লাক  ধন্যবাদ দারাজ  আর হ্যা ক্রেডিট কার্ড এ ডিস্কাউন্ট টা রেখ ,1
অনেক ভালো আছে  নিতে পারেন,1
আলহামদুলিল্লাহ দারাজে প্রথম অডার দিলাম দারাজ থেকে  সব কিছু ঠিকটাক আলহামদুলিল্লাহ  অনেক অনেক ধন্যবাদ  সময়ের আগেই সব পেয়েছি  আলহামদুলিল্লাহ ডেলিবারি ম্যানের ব্যবহার অনেক ভালো ,1
       ছিলো কোনো সমস্যা আপাতত নেই ব্যবহার করে পুনরায় বলবো কি অবস্থা ভালোই লাগছে এখন ,1
বিশেষ প্রয়োজনে একাধিক কিনেছি  আলহামদুলিল্লাহ প্রডাক্ট এবং সেলার সার্ভিস খুবই ভাল  আর দারাজ ত বেশ সুন্দর অফার দিয়েছে  ধন্যবাদ আপনাদের  ডিসকাউন্ট টা বেশি দিলে আরো খুশি হতাম  আরো ডিস্কাউন্ট চাই  ক্যাশ ডিস্কাউন্ট,1
দারুন ফোন দারুন দাম দারুন ডেলিভারি   ধন্যবাদ দারাজ  ক্রেডিট কার্ড এ আরো বেশি সুবিধা দিও প্লিজ  আমরা অনেক কেনা কাটা করতে চাই  সবাই নিতে পারেন  ডিস্কাউন্ট এ এমন অসাধারণ প্রডাক্ট ,1
প্রাইস হিসাবে বেশ ভালো ফোন ডিজাইন ও ভালো  ইন্ট্যাক্ট বক্স  দারাজ থেকে ছাড় ও পেয়েছি  সুতরাং দোকানের চেয়ে প্রাইস কম এ পেয়েছি যথাসময় এ ডেলিভারি পেয়েছি ,1
ফোনটা ক্যাশ অন ডেলিভারিতে অর্ডার করেছিলাম আলহামদুলিল্লাহ হাতে পেয়েছি প্যাকেজিং এর ভিতরে মোবাইল এবং সবকিছু ঠিকঠাক ছিল তবে সেলারকে মেসেজ দিলে রেসপন্স পাওয়া যায়না ডেলিভারিও একটু দেরিতে পেয়েছি এই টাকার মধ্যে মোবাইলটা ভালোই হবে আশা করছি ধন্যবাদ দারাজ টিমকে ,1
                    আমার খুব পছন্দ হইছে  দিন চালিয়ে রিভিউ দিলাম  আপনারা চাইলে নিতে পারেন ,1
আহ  আলহামদুলিল্লাহ খুবই ভাল ভাবে প্রডাক্ট হাতে পেয়েছি  আরো ডিস্কাউন্ট চাই যাতে বেশক বেশি কিনতে পারি  কার্ড পেমেন্ট এ ডিস্কাউন্ট বাড়ান ,1
যেমনটা চেয়েছিলাম  তেমনটাই পেয়েছি  ধন্যবাদ দ্বারাজ কে  প্যাকেজিং খুব ভালো ছিল ,1
সব কিছু ঠিক টাক  ইনটেক বক্স ছিলো  ডেলিভারি ও কুইক ছিলো  তবে পারফরম্যান্স টা কিছু স্লো বাকি সব কিছু ঠিক আছে          এই প্রাইস রেঞ্জ এর মাঝে এইটাই বেস্ট,1
যেমনটা চেয়েছিলাম তেমনি পেয়েছি  আপাতত কোনো সমস্যা হচ্ছে না  ডেলিভারি দেরি হইছে ,1
একজনকে ঈদের      হিসেবে দেবার জন্য নিয়েছি এই দামে এটা বেশ ভালো মনে হয়েছে             কেমন পরে ওর কাছ থেকে জেনে       করবো ইনশাআল্লাহ  ,1
সুন্দর একটি মোবাইল  ধন্যবাদ ইনফিনিক্স এবং দারাজ কে  ,1
খুব ভালো লেগেছে ফোনটা  এই দামে বেস্ট,1
ধন্যবাদ দারাজ কে অনেক অনেক সুন্দর হয়েছে ফোন টা আর সেলার টাও অনেক ভালো ছিলো ধন্যবাদ,1
সবকিছুর উর্ধগতির বাজারে  এই দামে ইনফিনিক্স এর এ মোবাইল টা খুবই ভাল  আমি  জনকে কিনে দিয়েছি আরো অনেককে সাজেস্ট করেছি    ,1
মোবাইলটা আমার অনেক পছন্দ হয়েছে দামও অনেক কম ছিল,1
ধন্যবাদ দারাজ  সুলভ মূল্যে অরিজিনাল পন্য পেয়েছি ,1
ভালো ঠিক আছে   ,1
দারাজ মানেই ভরসার যায়গা,1
ফোন টা দেখতে অনেক সুন্দর  সাথে বেক কভার ও ছিলো  আমার  টাকা পড়েছে ,1
অসাধারণ একটা ফোন সবাই নিঃসন্দেহ নিতে পারেন,1
আমার কাকাকে কিনে দিছি আমি আল্লাহ্ রহমতে ভালো হয় যনো,1
প্যাকিজিং সুন্দর ছিলো  অফারে কম টাকায় দেওয়ার জন্য ধন্যবাদ ইনফিনিক্স ,1
সেরম অইছেরে  কল্পনা ছিলনা এত ভাল হবে           ,1
আলহামদুলিল্লাহ  খুব সুন্দর সবাই নিতে পারেন        ,1
আলহামদুলিল্লাহ ভালো সবাই নিতে পারেন,1
এই দামে ভালো জিনিস   সবকিছুই টিকটাক,1
আলহামদুলিল্লাহ  অনেক ভালো ,1
এই দামে ভালো ফোন ,1
মোটামুটি ভালো তবে অনেক দেরিতে দিছে,1
অসাধারণ ডিজাইন  পাফম ভালো হবে আশাকরি ,1
ভালো গুড,1
খুবই ভালো প্রোডাক্ট,1
অসাধারণ একটা ফোন হয়েছে আমি এখান থেকে নিয়েছি  আপনারা চাইলে নিতে পারেন অনেক ফাস্ট ডেলিভারি পেয়েছি   ডেলিভারি ম্যান শরিফুল ভাইকে অসংখ্য ধন্যবাদ,1
অল্পতেই ফোন গরম হয়ে যায় ,0
কোন ওয়ারেন্টি কার্ড পাইনি  ক্রয় রশিদও পাইনি  প্রোডাক্ট ঠিকঠাক পেয়েছি ,2
 তারিখে রাতে অর্ডার দিয়েছি  পরের দিন হাতে পেয়েছি  যেমন চেয়েছি তেমনি পেয়েছি  অসংখ্য ধন্যবাদ ,1
রিয়েলমি ফ্লেগশিপ স্টোর থেকে নেয়া  খুব দ্রুত ডেলিভারি পেয়েছি  অরিজিনাল প্রোডাক্ট  ধন্যবাদ দারাজ ধন্যবাদ রিয়েলমিকে  সাথে কোন ওয়ারেন্টি কার্ড নাই  এটা ওয়ারেন্টি ক্লেইম করব কিভাবে ,2
মোটা মোটি ভালই,1
এক কথায় বলা যেতে পারে খুবই সুন্দর চাইলে আপনারা সবাই নিতে পারেন ধন্যবাদ দারাজ এবং সেলার কে এত সুন্দর প্রোডাক্ট দেওয়ার জন্য মোবাইলের ছবি দিতে পারলাম না         ,1
আশানুতপতিক অনেক ভালো পেয়েছি ছেলেরও অনেক ভালো ছিল আপনারা চাইলে নিতে পারেন অনেক ভালো,1
অসাধারণ মোবাইল ডিজাইন,1
দ্রুত ডেলিভারি দেওয়ার জন্য দারাজ কে এবং সেলারকে ধন্যবাদ,1
                            বাট সেলার মেসেজের রিপ্লে দেয় না,1
অনেক অনেক ধন্যবাদ দারাজ    যেমন চাইছিলাম ঠিক তেমনই পাইছি   ,1
ডেলিভারি চার্জ দেয়ার পরও আপনাদের ডেলিভারী মেন আমাকে ফোন করে বলে শায়েস্তাগঞ্জ অফিসে আপনার পন্যটি নিয়ে যান  পরবর্তীতে বাধ্য হয়ে আমি শায়েস্তাগঞ্জ গিয়ে আমার ফোনটি রিসিভ করি  আমার প্রশ্ন হলো আমি ডেলিভারি চার্জ দেয়ার পরও কেন আমার উল্লেখিত ঠিকানায় পণ্যটি এনে দেয়া হয়নি  আমি অফিসে গিয়ে মোবাইলটি আনার পরও চার্জ কেন নেয়া হলো ,0
কথায় এক কাজে আরেক  ,0
মোটামুটি ভালো বডি ফিনিশিং ততটা ভালো না  দাম হিসেবে ঠিক আছে ,2
অথেনটিক ব্র ্যান্ডেড প্রোডাক্ট  সব কিছই ওকে ছিলো  তবে ডেলিভারি সার্ভিস থার্ডক্লাস  এ বিষয়ে স্টোর থেকেও কোনো হেল্প করা হয়নি  কোনো যোগাযোগ ছাড়াই ডেলিভারি এ্যাটেম্পট ফেইল দেখিয়েছে  দিন  য় দিন কাস্টমার কেয়ারে ফোন দিয়ে রাইডার এর নাম্বার নিয়ে ফোন দিয়ে ডেলিভারি নেয়া লাগসে তাও রাত  টার পর ,2
যেমন চেয়েছিলেন সেটা পেয়েছি  অনেক ভালো সবাই নিতে পারেন ,1
ভাল ছিল ,1
    সোলার ভাই অনেক ভালো  ভাইয়ের কথা না বললে নয়   এরকম সোলার থাকলে দারাজ অবশ্যই অনেক ভালো কিছু করতে পারবে ইনশাল্লাহ       ,1
আলহামদুলিল্লাহ দ্রুত সময়ের মধ্যে জেনুইন প্রোডাক্ট ডেলিভারি দিয়েছে,1
অসাধারন হয়েছে ,1
ফোন সব কিছু ঠিক আছে কিন্ত ছবি তোলার পর এতো বাজে দেখা যায় ক্যামেরা একদমই ভালো নয় ,2
মোবাইলটা কিছুটা স্লো কাজ করে  আর চার্জারটা টাইপ সি হলেও খুবই নরমাল হয়ে গেছে যার কারনে অল্পতেই গরম হয়ে যায়  আর কত      তা কোথাও উল্লেখ নাই  চার্জারটি একটু হেবি হলে ভালো হতো ,0
সবকিছু দ্বারুন  ক্যামেরাটা আর একটু ভালো হতে পারতো সেটিংস থেকে            এর উপরে ক্লিক করে                 ডাউনলোড করে      যাচাই করেছি বিটিআরসি এর অন্তর্ভুক্ত পেয়েছি এটা ভালো লেগেছে   ,1
দাম হিসেবে মোবাইল ফোন টি ভালো   তবে রাইডার একটু ত্যরা টাইপের অনেক খারাপ ব্যাবহার করছে   আর সেলার তো কোন মেসেজ এর রিপ্লাই দেয় না  তাই সেলার ও ভালো না  ,0
রাতে অর্ডার দিয়েছিলাম পরদিন সকালে হাতে পেলাম  সপ্তাহ যাবত সেট টি ব্যবহার করছি  ব্যবহারে ভালই স্বাচ্ছন্দ্যবোধ করছি ,1
এত কম মুল্যে এমন ফোন শুধু মাএ         এই সম্ভব ধন্যবাদ,1
ডেলিভারি অনেক ফাস্ট ছিল   আলহামদুলিল্লাহ সঠিক পন্য সব মিলিয়ে ঠিকঠাক,1
একদম অরজিনাল ,1
আলহামদুলিল্লাহ খুব ভালো প্রোডাক্ট  খুব খুশি আমি  ,1
এই দামে বেস্ট পারফর্ম করা মোবাইল ,1
দাম অনুযায়ী মান টিক আছে,1
ভালো মানের মোবাইল নিতে পারেন ,1
দাম অনুযায়ী ভালো আছে,1
অসাধারণ মোবাইল নিতে পারেন সবাই ,1
অরিজিনাল পোডাক্ট ,1
সেলার একটু ভালো না  কোন সমস্যা হলে আপনি তাকে আর কিছু বলতেই পারবেন না  মেসেজ করলে সে উত্তর দেয় না,0
বাজে ফোন আনঅফিশিয়াল ফোন  কেউ নিবেন না  সেলার খুব ফালতু ,0
হ্যাং করে ভালোনা রিটান করার কথ  দিনের ভিতর কিন্তু তারা যোগাযোক করেনি মাদারের বাচ্ছারা দারজ এইসব ফালতু মাল পারমিট দেয়া উচুত না এর একটা ব্যাবোস্তা নিন না হলে ভালো হবেনা    ,0
সাথে ইয়ারফোন  স্ক্রিন প্রটেক্টর নাই  অবশ্য ব্যাক কভার আছে ভালো প্যাকেজিং  আপাত দৃষ্টিতে দেখে ইনটেকই মনে হচ্ছে  কোম্পানি প্রতারণা করলে কিছু করার নেই  নতুন ইউজ করা ফোন যদি প্রবলেম এর কারনে গ্রাহক থেকে নিয়ে আবার রিপেয়ার করে চকচকা স্টিকার লাগিয়ে আমাদের দেয় তাহলে ধরার উপায় নেই  এখন কেমন চলে দেখার বিষয়  ভালো চললে সাকসেস  দারাজের ক্রেডিট  থ্যাংকস দারাজ  থ্যাংকস ইনফিনিক্স এন্ড পেমেন্ট পার্টনার সাউথইস্ট ব্যাংক  ভাউচার  সাউথইস্ট ব্যাংকের কার্ড দিয়ে পেমেন্ট করে মাত্র  টাকায় পেয়েছি     ,2
এই প্রাইজে ভালো ডিল কিন্তু মোবাইল মাঝে মাঝে হ্যাং করে  তখন রিস্টার্ট দেয়া লাগে  এছাড়া ক্যামেরা ভালো ,2
প্রথমত     বাজেট হিসেবে ফোন ভালো  তবে হেভি ইউজের জন্যে এই ফোন না  কোন ক্যাশ মেমো বা ডকুমেন্টস কিছুই দেয়নি  আর সেলার এর কোনো রেসপন্স নাই  ,2
দারুন একটা ফোন খুব তাড়াতাড়ি ডেলিভারি পেয়েছি ধন্যবাদ সেলার এবং দারাস টিমকে  এবং ফোনটি বাজারের থেকে  টাকা কম পেয়েছে            ,1
 দিন চালানোর পর        দিচ্ছি  অনেক ভালো          যেমন আশা করেছিলাম ঠিক তেমনি পাইছি ,1
আলহামদুলিল্লাহ ফোনটা অনেক সুন্দর ছিল এবং খুব দ্রুত পাইছিলাম এবং সেলার ভাইকে অনেক ধন্যবাদ আর মূল বিষয় হচ্ছে যে ভাই দারাজ কোন ফেক না আপনারা চাইলে বিশ্বাস বিশ্বাস করে মাল কিনতে পারেন একটি নির্ভরযোগ্য অ্যাপস ,1
আলহামদুলিল্লাহ্    এখন পর্যন্ত সব কিছুই ভালো লাগলো ,1
এক কথায় অসাধারণ,1
ঠিকঠাক প্রোডাক্ট পেয়েছি,1
অসম্ভব সুন্দর,1
সেলার অনেক ভাল সময় মত হাতে পাইছি যেমন টা চেয়েছি তেমন টাই পাইছি ,1
এই সেটের ক্যামেরা ততটা ভালো না আর সব ভালো ডেলিভারি ম্যান সার্ভিস খুবই আন্তরিক ও অমায়িক ,2
মোবাইল ফোনটা সুন্দর ছিল  কিন্তু ফোনে   নেটওয়ার্ক সাপোর্ট করবে কি না সন্দেহ আছে  মেইন সমস্যা হল             চেক করা যাচ্ছে না এবং আমি কোন ওয়ারেন্টি কার্ড পাইনি  তাই আমি আশা করি সেলার ভাই আমার সমস্যাগুলো সমাধান করবেন  ধন্যবাদ দারাজ এবং সেলার ভাই ,2
          অনুযায়ী ছবি ভালো উঠে না  এটার থেকে আমার আগের মোবাইলের           তে ভালো ছবি উঠে ,0
কম বাজেটে খুব ভালো একটা মোবাইল ফোন স্যালার অনেক ভালো ছিল খুব তাড়াতাড়ি পেয়েছি,1
